Name,Stars,Title,Date,Description
Dr. Ramesh Babu Devalla,5.0,"5.0 out of 5 stars
GB, Processor , Storage, FHD etc all are good.",N/A,"Excellent product. This laptop has met all my requirements and working excellently. Comes with the brand value 'hp'.
Read more"
rakesh saini,4.0,"4.0 out of 5 stars
Laptop mother board gone faulty after 15 days",N/A,"After 15 days Laptop gone faulty customer care helpless to resolve the issue. They provided on site engineer and declared mother board faulty. Now they will change mother board. How HP care is working ?How will I be satisfied with Repaired Laptop which is gone faulty just after 15 days. I never expect this type of service from HP. Now HP has replaced the item by new one.Wonderful HP care.
Read more"
Placeholder,5.0,"5.0 out of 5 stars
Outstanding",N/A,"Happy with the specifications. Got it in a low prize Amazon Great Indian Festival Sale. Recieved it in a good packaging. Equipped with Microsoft 365 and windows 11 pro genuine.
Read more"
Sudheendra Adiga,1.0,"1.0 out of 5 stars
Poor Quality laptop",N/A,"From day one its not working.. Delivered defect laptop by Amazon.. Such worst experience. It was very urgent for us .. But it was defect product delivered.. Not working properly, huge sound from speaker, automatically restarting..Amzone return policy also pathetic.. Such a worst experience am faced.. Sincere request to all please don't buy costly items from amazon.. Their return policy is very poor..
Read more"
SHYAM BUTIYA,5.0,"5.0 out of 5 stars
Best laptop in this price range.",N/A,"I am using hp laptop since longtime, I had not seen and noticed any issues till now , I have a very good experience with hp. Worthy product of all time I am submitting my review after 3 months of hard use of daily 7hrs .
Read more"
Placeholder,4.0,"4.0 out of 5 stars
somewhat noisy",N/A,"overall product is good, little bit noisy some time ,I want to have 180 degree or 360 degree foldable laptop but this feature is not included in this product battery life is good for me maybe cuz I'm not performing heavy task.
Read more"
Ramamoorthy. R,3.0,"3.0 out of 5 stars
Hp laptop battery not good",N/A,"This item is working performance good, but battery backup is not good,
Read more"
KHARADI JOVANBHAI KALUBHAI,5.0,"5.0 out of 5 stars
Good",N/A,"Good
Read more"
Dr. Ramesh Babu Devalla,5.0,"5.0 out of 5 stars
GB, Processor , Storage, FHD etc all are good.",N/A,"Excellent product. This laptop has met all my requirements and working excellently. Comes with the brand value 'hp'.
Read more"
rakesh saini,4.0,"4.0 out of 5 stars
Laptop mother board gone faulty after 15 days",N/A,"After 15 days Laptop gone faulty customer care helpless to resolve the issue. They provided on site engineer and declared mother board faulty. Now they will change mother board. How HP care is working ?How will I be satisfied with Repaired Laptop which is gone faulty just after 15 days. I never expect this type of service from HP. Now HP has replaced the item by new one.Wonderful HP care.
Read more"
Placeholder,5.0,"5.0 out of 5 stars
Outstanding",N/A,"Happy with the specifications. Got it in a low prize Amazon Great Indian Festival Sale. Recieved it in a good packaging. Equipped with Microsoft 365 and windows 11 pro genuine.
Read more"
Sudheendra Adiga,1.0,"1.0 out of 5 stars
Poor Quality laptop",N/A,"From day one its not working.. Delivered defect laptop by Amazon.. Such worst experience. It was very urgent for us .. But it was defect product delivered.. Not working properly, huge sound from speaker, automatically restarting..Amzone return policy also pathetic.. Such a worst experience am faced.. Sincere request to all please don't buy costly items from amazon.. Their return policy is very poor..
Read more"
SHYAM BUTIYA,5.0,"5.0 out of 5 stars
Best laptop in this price range.",N/A,"I am using hp laptop since longtime, I had not seen and noticed any issues till now , I have a very good experience with hp. Worthy product of all time I am submitting my review after 3 months of hard use of daily 7hrs .
Read more"
Placeholder,4.0,"4.0 out of 5 stars
somewhat noisy",N/A,"overall product is good, little bit noisy some time ,I want to have 180 degree or 360 degree foldable laptop but this feature is not included in this product battery life is good for me maybe cuz I'm not performing heavy task.
Read more"
Ramamoorthy. R,3.0,"3.0 out of 5 stars
Hp laptop battery not good",N/A,"This item is working performance good, but battery backup is not good,
Read more"
KHARADI JOVANBHAI KALUBHAI,5.0,"5.0 out of 5 stars
Good",N/A,"Good
Read more"
Dr. Ramesh Babu Devalla,5.0,"5.0 out of 5 stars
GB, Processor , Storage, FHD etc all are good.",N/A,"Excellent product. This laptop has met all my requirements and working excellently. Comes with the brand value 'hp'.
Read more"
rakesh saini,4.0,"4.0 out of 5 stars
Laptop mother board gone faulty after 15 days",N/A,"After 15 days Laptop gone faulty customer care helpless to resolve the issue. They provided on site engineer and declared mother board faulty. Now they will change mother board. How HP care is working ?How will I be satisfied with Repaired Laptop which is gone faulty just after 15 days. I never expect this type of service from HP. Now HP has replaced the item by new one.Wonderful HP care.
Read more"
Placeholder,5.0,"5.0 out of 5 stars
Outstanding",N/A,"Happy with the specifications. Got it in a low prize Amazon Great Indian Festival Sale. Recieved it in a good packaging. Equipped with Microsoft 365 and windows 11 pro genuine.
Read more"
Sudheendra Adiga,1.0,"1.0 out of 5 stars
Poor Quality laptop",N/A,"From day one its not working.. Delivered defect laptop by Amazon.. Such worst experience. It was very urgent for us .. But it was defect product delivered.. Not working properly, huge sound from speaker, automatically restarting..Amzone return policy also pathetic.. Such a worst experience am faced.. Sincere request to all please don't buy costly items from amazon.. Their return policy is very poor..
Read more"
SHYAM BUTIYA,5.0,"5.0 out of 5 stars
Best laptop in this price range.",N/A,"I am using hp laptop since longtime, I had not seen and noticed any issues till now , I have a very good experience with hp. Worthy product of all time I am submitting my review after 3 months of hard use of daily 7hrs .
Read more"
Placeholder,4.0,"4.0 out of 5 stars
somewhat noisy",N/A,"overall product is good, little bit noisy some time ,I want to have 180 degree or 360 degree foldable laptop but this feature is not included in this product battery life is good for me maybe cuz I'm not performing heavy task.
Read more"
Ramamoorthy. R,3.0,"3.0 out of 5 stars
Hp laptop battery not good",N/A,"This item is working performance good, but battery backup is not good,
Read more"
KHARADI JOVANBHAI KALUBHAI,5.0,"5.0 out of 5 stars
Good",N/A,"Good
Read more"
Dr. Ramesh Babu Devalla,5.0,"5.0 out of 5 stars
GB, Processor , Storage, FHD etc all are good.",N/A,"Excellent product. This laptop has met all my requirements and working excellently. Comes with the brand value 'hp'.
Read more"
rakesh saini,4.0,"4.0 out of 5 stars
Laptop mother board gone faulty after 15 days",N/A,"After 15 days Laptop gone faulty customer care helpless to resolve the issue. They provided on site engineer and declared mother board faulty. Now they will change mother board. How HP care is working ?How will I be satisfied with Repaired Laptop which is gone faulty just after 15 days. I never expect this type of service from HP. Now HP has replaced the item by new one.Wonderful HP care.
Read more"
Placeholder,5.0,"5.0 out of 5 stars
Outstanding",N/A,"Happy with the specifications. Got it in a low prize Amazon Great Indian Festival Sale. Recieved it in a good packaging. Equipped with Microsoft 365 and windows 11 pro genuine.
Read more"
Sudheendra Adiga,1.0,"1.0 out of 5 stars
Poor Quality laptop",N/A,"From day one its not working.. Delivered defect laptop by Amazon.. Such worst experience. It was very urgent for us .. But it was defect product delivered.. Not working properly, huge sound from speaker, automatically restarting..Amzone return policy also pathetic.. Such a worst experience am faced.. Sincere request to all please don't buy costly items from amazon.. Their return policy is very poor..
Read more"
SHYAM BUTIYA,5.0,"5.0 out of 5 stars
Best laptop in this price range.",N/A,"I am using hp laptop since longtime, I had not seen and noticed any issues till now , I have a very good experience with hp. Worthy product of all time I am submitting my review after 3 months of hard use of daily 7hrs .
Read more"
Placeholder,4.0,"4.0 out of 5 stars
somewhat noisy",N/A,"overall product is good, little bit noisy some time ,I want to have 180 degree or 360 degree foldable laptop but this feature is not included in this product battery life is good for me maybe cuz I'm not performing heavy task.
Read more"
Ramamoorthy. R,3.0,"3.0 out of 5 stars
Hp laptop battery not good",N/A,"This item is working performance good, but battery backup is not good,
Read more"
KHARADI JOVANBHAI KALUBHAI,5.0,"5.0 out of 5 stars
Good",N/A,"Good
Read more"
